LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1120.602420,1120.602400,1661327438.889194,60937.000,7963,1,T1,1,100,35.085
1120.735605,1120.735585,1661327439.022379,61066.000,7995,1,T1,1,100,35.037
1120.868789,1120.868770,1661327439.155564,61195.000,8012,1,T1,1,100,35.158
1121.001974,1121.001955,1661327439.288749,61324.000,8028,1,T1,1,100,35.033
1121.134127,1121.134107,1661327439.420901,61452.000,8053,1,T1,1,100,35.121
1121.270409,1121.270389,1661327439.557183,61584.000,8069,1,T1,1,100,35.159
1121.402561,1121.402542,1661327439.689336,61712.000,8087,1,T1,1,100,35.104
1121.535746,1121.535726,1661327439.822520,61841.000,8121,1,T1,1,100,35.080
1121.668931,1121.668911,1661327439.955705,61970.000,8137,1,T1,1,100,35.141
1121.801083,1121.801063,1661327440.087857,62098.000,8155,1,T1,1,100,35.203
1121.935300,1121.935281,1661327440.222075,62228.000,8171,1,T1,1,100,35.123
1122.069517,1122.069498,1661327440.356292,62358.000,8207,1,T1,1,100,35.195
1122.201670,1122.201650,1661327440.488444,62486.000,8224,1,T1,1,100,35.191
1122.333822,1122.333803,1661327440.620597,62614.000,8242,1,T1,1,100,35.118
1122.464942,1122.464922,1661327440.751717,62741.000,8260,1,T1,1,100,35.193
1122.598127,1122.598107,1661327440.884902,62870.000,8293,1,T1,1,100,35.225
1122.731311,1122.731292,1661327441.018086,62999.000,8310,1,T1,1,100,35.133
1122.862431,1122.862412,1661327441.149206,63126.000,8327,1,T1,1,100,35.164
1122.994584,1122.994564,1661327441.281358,63254.000,8364,1,T1,1,100,35.177
1123.127768,1123.127749,1661327441.414543,63383.000,8382,1,T1,1,100,35.148
1123.260953,1123.260934,1661327441.547728,63512.000,8399,1,T1,1,100,35.135
1123.394138,1123.394119,1661327441.680913,63641.000,8418,1,T1,1,100,35.129
1123.529388,1123.529368,1661327441.816163,63772.000,8451,1,T1,1,100,35.127
1123.661540,1123.661521,1661327441.948315,63900.000,8468,1,T1,1,100,35.090
1123.792660,1123.792640,1661327442.079435,64027.000,8485,1,T1,1,100,35.110
1123.925845,1123.925825,1661327442.212620,64156.000,8502,1,T1,1,100,35.119
1124.060062,1124.060042,1661327442.346837,64286.000,8538,1,T1,1,100,35.158
1124.195312,1124.195292,1661327442.482087,64417.000,8554,1,T1,1,100,35.175
1124.329529,1124.329509,1661327442.616304,64547.000,8571,1,T1,1,100,35.111
1124.459616,1124.459597,1661327442.746391,64673.000,8608,1,T1,1,100,35.225
1124.592801,1124.592782,1661327442.879576,64802.000,8624,1,T1,1,100,35.275
1124.729083,1124.729064,1661327443.015858,64934.000,8642,1,T1,1,100,35.225
1124.863300,1124.863281,1661327443.150075,65064.000,8658,1,T1,1,100,35.168
1124.996485,1124.996466,1661327443.283260,65193.000,8690,1,T1,1,100,35.215
1125.126572,1125.126553,1661327443.413348,65319.000,8709,1,T1,1,100,35.164
1125.259757,1125.259738,1661327443.546533,65448.000,8725,1,T1,1,100,35.177
1125.393974,1125.393955,1661327443.680750,65578.000,8743,1,T1,1,100,35.219
1125.526127,1125.526107,1661327443.812902,65706.000,8774,1,T1,1,100,35.130
1125.658279,1125.658260,1661327443.945055,65834.000,8790,1,T1,1,100,35.163
1125.793529,1125.793509,1661327444.080304,65965.000,8810,1,T1,1,100,35.212
1125.926714,1125.926694,1661327444.213489,66094.000,8841,1,T1,1,100,35.127
1126.059898,1126.059879,1661327444.346674,66223.000,8861,1,T1,1,100,35.232
1126.192051,1126.192031,1661327444.478826,66351.000,8884,1,T1,1,100,35.278
1126.324203,1126.324184,1661327444.610979,66479.000,8900,1,T1,1,100,35.227
