LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1106.848941,1106.848921,1661327425.135713,47615.667,5708,3,MZ,1,100,-44
1106.888862,1106.888842,1661327425.175634,47654.333,5708,3,MZ,1,100,-42
1106.928783,1106.928763,1661327425.215555,47693.000,5708,3,MZ,1,100,-43
1106.969048,1106.969029,1661327425.255820,47732.000,5724,2,MZ,1,100,-44
1107.009314,1107.009294,1661327425.296085,47771.000,5724,2,MZ,1,100,-44
1107.049235,1107.049215,1661327425.336006,47809.667,5740,3,MZ,1,100,-43
1107.089156,1107.089136,1661327425.375927,47848.333,5740,3,MZ,1,100,-43
1107.129077,1107.129057,1661327425.415848,47887.000,5740,3,MZ,1,100,-43
1107.168653,1107.168634,1661327425.455425,47925.333,5759,3,MZ,1,100,-43
1107.208230,1107.208210,1661327425.495002,47963.667,5759,3,MZ,1,100,-42
1107.247807,1107.247787,1661327425.534579,48002.000,5759,3,MZ,1,100,-44
1107.287040,1107.287020,1661327425.573812,48040.000,5775,2,MZ,1,100,-44
1107.326273,1107.326253,1661327425.613045,48078.000,5775,2,MZ,1,100,-44
1107.365505,1107.365486,1661327425.652277,48116.000,5793,3,MZ,1,100,-43
1107.404738,1107.404718,1661327425.691510,48154.000,5793,3,MZ,1,100,-44
1107.443971,1107.443951,1661327425.730743,48192.000,5793,3,MZ,1,100,-43
1107.484236,1107.484216,1661327425.771008,48231.000,5808,2,MZ,1,100,-42
1107.524501,1107.524481,1661327425.811273,48270.000,5808,2,MZ,1,100,-44
1107.564422,1107.564402,1661327425.851194,48308.667,5826,3,MZ,1,100,-42
1107.604343,1107.604323,1661327425.891115,48347.333,5826,3,MZ,1,100,-43
1107.644264,1107.644244,1661327425.931036,48386.000,5826,3,MZ,1,100,-43
1107.684185,1107.684165,1661327425.970957,48424.667,5843,3,MZ,1,100,-43
1107.724106,1107.724086,1661327426.010878,48463.333,5843,3,MZ,1,100,-45
1107.764027,1107.764007,1661327426.050799,48502.000,5843,3,MZ,1,100,-43
1107.803948,1107.803928,1661327426.090720,48540.667,5860,3,MZ,1,100,-43
1107.843869,1107.843849,1661327426.130641,48579.333,5860,3,MZ,1,100,-43
1107.883790,1107.883770,1661327426.170562,48618.000,5860,3,MZ,1,100,-43
1107.923539,1107.923519,1661327426.210311,48656.500,5876,2,MZ,1,100,-42
1107.963288,1107.963268,1661327426.250060,48695.000,5876,2,MZ,1,100,-42
1108.002865,1108.002845,1661327426.289637,48733.333,5893,3,MZ,1,100,-43
1108.042442,1108.042422,1661327426.329214,48771.667,5893,3,MZ,1,100,-42
1108.082019,1108.081999,1661327426.368791,48810.000,5893,3,MZ,1,100,-43
1108.121940,1108.121920,1661327426.408712,48848.667,5910,3,MZ,1,100,-44
1108.161861,1108.161841,1661327426.448633,48887.333,5910,3,MZ,1,100,-43
1108.201782,1108.201762,1661327426.488554,48926.000,5910,3,MZ,1,100,-43
