LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1129.999690,1129.999670,1661327448.286466,70039.000,9502,2,EA,1,100,0.227633
1130.066798,1130.066779,1661327448.353575,70104.000,9519,1,EA,1,100,0.227931
1130.132875,1130.132855,1661327448.419651,70168.000,9540,2,EA,1,100,0.227826
1130.198951,1130.198931,1661327448.485727,70232.000,9540,2,EA,1,100,0.227789
1130.263994,1130.263975,1661327448.550771,70295.000,9556,1,EA,1,100,0.228057
1130.330071,1130.330051,1661327448.616847,70359.000,9572,2,EA,1,100,0.228199
1130.396147,1130.396127,1661327448.682923,70423.000,9572,2,EA,1,100,0.228251
1130.464288,1130.464269,1661327448.751064,70489.000,9590,1,EA,1,100,0.228162
1130.532429,1130.532410,1661327448.819205,70555.000,9609,2,EA,1,100,0.228214
1130.600570,1130.600551,1661327448.887346,70621.000,9609,2,EA,1,100,0.228251
1130.667162,1130.667143,1661327448.953939,70685.500,9629,2,EA,1,100,0.228057
1130.733755,1130.733735,1661327449.020531,70750.000,9629,2,EA,1,100,0.228094
1130.799831,1130.799812,1661327449.086607,70814.000,9645,1,EA,1,100,0.228154
1130.865907,1130.865888,1661327449.152683,70878.000,9660,2,EA,1,100,0.228072
1130.931983,1130.931964,1661327449.218760,70942.000,9660,2,EA,1,100,0.228080
1131.000124,1131.000105,1661327449.286901,71008.000,9677,1,EA,1,100,0.228184
1131.067233,1131.067214,1661327449.354009,71073.000,9696,2,EA,1,100,0.228117
1131.134341,1131.134322,1661327449.421118,71138.000,9696,2,EA,1,100,0.228184
1131.200418,1131.200398,1661327449.487194,71202.000,9713,1,EA,1,100,0.227945
1131.267010,1131.266991,1661327449.553787,71266.500,9727,2,EA,1,100,0.227715
1131.333602,1131.333583,1661327449.620379,71331.000,9727,2,EA,1,100,0.228027
1131.400711,1131.400692,1661327449.687488,71396.000,9745,1,EA,1,100,0.228408
1131.467303,1131.467284,1661327449.754080,71460.500,9763,2,EA,1,100,0.228080
1131.533896,1131.533877,1661327449.820672,71525.000,9763,2,EA,1,100,0.228050
1131.602037,1131.602018,1661327449.888813,71591.000,9780,2,EA,1,100,0.228050
1131.670178,1131.670159,1661327449.956954,71657.000,9780,2,EA,1,100,0.228191
1131.736254,1131.736235,1661327450.023031,71721.000,9801,2,EA,1,100,0.228311
1131.802330,1131.802311,1661327450.089107,71785.000,9801,2,EA,1,100,0.228431
1131.868923,1131.868903,1661327450.155699,71849.500,9819,2,EA,1,100,0.228341
1131.935515,1131.935496,1661327450.222291,71914.000,9819,2,EA,1,100,0.228236
1132.001591,1132.001572,1661327450.288368,71978.000,9836,1,EA,1,100,0.228341
1132.067151,1132.067132,1661327450.353928,72041.500,9853,2,EA,1,100,0.228341
1132.132711,1132.132692,1661327450.419488,72105.000,9853,2,EA,1,100,0.228169
1132.200852,1132.200833,1661327450.487629,72171.000,9873,1,EA,1,100,0.228356
1132.268477,1132.268458,1661327450.555254,72236.500,9889,2,EA,1,100,0.228648
1132.336102,1132.336082,1661327450.622878,72302.000,9889,2,EA,1,100,0.228858
1132.402694,1132.402675,1661327450.689471,72366.500,9911,2,EA,1,100,0.229091
1132.469286,1132.469267,1661327450.756063,72431.000,9911,2,EA,1,100,0.228775
1132.535363,1132.535343,1661327450.822139,72495.000,9927,1,EA,1,100,0.228670
1132.601439,1132.601420,1661327450.888216,72559.000,9944,2,EA,1,100,0.228850
1132.667515,1132.667496,1661327450.954292,72623.000,9944,2,EA,1,100,0.228760
