LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1105.352247,1105.352227,1661327423.639019,46166.000,5437,4,EM,1,100,PS
1105.404127,1105.404107,1661327423.690899,46216.250,5473,4,EM,1,100,RS
1105.456007,1105.455987,1661327423.742779,46266.500,5473,4,EM,1,100,RB
1105.507888,1105.507868,1661327423.794659,46316.750,5473,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1105.559768,1105.559748,1661327423.846539,46367.000,5473,4,EM,1,100,PS
1105.611648,1105.611628,1661327423.898419,46417.250,5504,4,EM,1,100,RS
1105.663528,1105.663508,1661327423.950300,46467.500,5504,4,EM,1,100,RB
1105.715408,1105.715388,1661327424.002180,46517.750,5504,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1105.767288,1105.767268,1661327424.054060,46568.000,5504,4,EM,1,100,PS
1105.819168,1105.819148,1661327424.105940,46618.250,5538,4,EM,1,100,RS
1105.871048,1105.871028,1661327424.157820,46668.500,5538,4,EM,1,100,RB
1105.922928,1105.922909,1661327424.209700,46718.750,5538,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1105.974809,1105.974789,1661327424.261580,46769.000,5538,4,EM,1,100,PS
1106.027463,1106.027443,1661327424.314235,46820.000,5574,4,EM,1,100,RS
1106.080117,1106.080098,1661327424.366889,46871.000,5574,4,EM,1,100,RB
1106.132772,1106.132752,1661327424.419544,46922.000,5574,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1106.185426,1106.185406,1661327424.472198,46973.000,5574,4,EM,1,100,PS
1106.237048,1106.237028,1661327424.523820,47023.000,5610,4,EM,1,100,RS
1106.288670,1106.288650,1661327424.575442,47073.000,5610,4,EM,1,100,RB
1106.340292,1106.340272,1661327424.627064,47123.000,5610,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1106.391914,1106.391894,1661327424.678686,47173.000,5610,4,EM,1,100,PS
1106.443794,1106.443775,1661327424.730566,47223.250,5644,4,EM,1,100,RS
1106.495675,1106.495655,1661327424.782446,47273.500,5644,4,EM,1,100,RB
1106.547555,1106.547535,1661327424.834327,47323.750,5644,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1106.599435,1106.599415,1661327424.886207,47374.000,5644,4,EM,1,100,PS
1106.651315,1106.651295,1661327424.938087,47424.250,5675,4,EM,1,100,RS
1106.703195,1106.703175,1661327424.989967,47474.500,5675,4,EM,1,100,RB
1106.755075,1106.755055,1661327425.041847,47524.750,5675,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1106.806955,1106.806935,1661327425.093727,47575.000,5675,4,EM,1,100,PS
1106.858835,1106.858816,1661327425.145607,47625.250,5709,4,EM,1,100,RS
1106.910716,1106.910696,1661327425.197487,47675.500,5709,4,EM,1,100,RB
1106.962596,1106.962576,1661327425.249367,47725.750,5709,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1107.014476,1107.014456,1661327425.301248,47776.000,5709,4,EM,1,100,PS
1107.066356,1107.066336,1661327425.353128,47826.250,5743,4,EM,1,100,RS
1107.118236,1107.118216,1661327425.405008,47876.500,5743,4,EM,1,100,RB
1107.170116,1107.170096,1661327425.456888,47926.750,5743,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1107.221996,1107.221976,1661327425.508768,47977.000,5743,4,EM,1,100,PS
1107.273876,1107.273856,1661327425.560648,48027.250,5776,4,EM,1,100,RS
1107.325756,1107.325737,1661327425.612528,48077.500,5776,4,EM,1,100,RB
1107.377637,1107.377617,1661327425.664408,48127.750,5776,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1107.429517,1107.429497,1661327425.716289,48178.000,5776,4,EM,1,100,PS
1107.481397,1107.481377,1661327425.768169,48228.250,5809,4,EM,1,100,RS
1107.533277,1107.533257,1661327425.820049,48278.500,5809,4,EM,1,100,RB
1107.585157,1107.585137,1661327425.871929,48328.750,5809,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1107.637037,1107.637017,1661327425.923809,48379.000,5809,4,EM,1,100,PS
1107.688917,1107.688897,1661327425.975689,48429.250,5844,4,EM,1,100,RS
1107.740797,1107.740777,1661327426.027569,48479.500,5844,4,EM,1,100,RB
1107.792677,1107.792658,1661327426.079449,48529.750,5844,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1107.844558,1107.844538,1661327426.131330,48580.000,5844,4,EM,1,100,PS
1107.896438,1107.896418,1661327426.183210,48630.250,5877,4,EM,1,100,RS
1107.948318,1107.948298,1661327426.235090,48680.500,5877,4,EM,1,100,RB
1108.000198,1108.000178,1661327426.286970,48730.750,5877,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1108.052078,1108.052058,1661327426.338850,48781.000,5877,4,EM,1,100,PS
1108.106023,1108.106003,1661327426.392795,48833.250,5911,4,EM,1,100,RS
1108.159968,1108.159948,1661327426.446740,48885.500,5911,4,EM,1,100,RB
1108.213913,1108.213893,1661327426.500685,48937.750,5911,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1108.267858,1108.267838,1661327426.554630,48990.000,5911,4,EM,1,100,PS
1108.323352,1108.323332,1661327426.610124,49043.750,5947,4,EM,1,100,RS
1108.378845,1108.378825,1661327426.665617,49097.500,5947,4,EM,1,100,RB
1108.434339,1108.434319,1661327426.721111,49151.250,5947,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1108.489833,1108.489813,1661327426.776605,49205.000,5947,4,EM,1,100,PS
1108.541713,1108.541693,1661327426.828485,49255.250,5981,4,EM,1,100,RS
1108.593593,1108.593573,1661327426.880365,49305.500,5981,4,EM,1,100,RB
1108.645473,1108.645453,1661327426.932245,49355.750,5981,4,EM,1,100,2022-08-24_09-50-13-292108.csv
1108.697353,1108.697333,1661327426.984125,49406.000,5981,4,EM,1,100,PS
1108.749233,1108.749213,1661327427.036005,49456.250,6019,4,EM,1,100,RS
1108.801113,1108.801094,1661327427.087886,49506.500,6019,4,EM,1,100,RB
1108.852993,1108.852974,1661327427.139766,49556.750,6019,4,EM,1,100,2022-08-24_09-50-13-292108.csv
