LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1107.129077,1107.129057,1661327425.415848,47887.000,5727,3,PR,1,100,127916
1107.168653,1107.168634,1661327425.455425,47925.333,5745,3,PR,1,100,127918
1107.208230,1107.208210,1661327425.495002,47963.667,5745,3,PR,1,100,127917
1107.247807,1107.247787,1661327425.534579,48002.000,5745,3,PR,1,100,127915
1107.287040,1107.287020,1661327425.573812,48040.000,5761,2,PR,1,100,127919
1107.326273,1107.326253,1661327425.613045,48078.000,5761,2,PR,1,100,127914
1107.365505,1107.365486,1661327425.652277,48116.000,5779,3,PR,1,100,127920
1107.404738,1107.404718,1661327425.691510,48154.000,5779,3,PR,1,100,127933
1107.443971,1107.443951,1661327425.730743,48192.000,5779,3,PR,1,100,127941
1107.484236,1107.484216,1661327425.771008,48231.000,5795,2,PR,1,100,127935
1107.524501,1107.524481,1661327425.811273,48270.000,5795,2,PR,1,100,127942
1107.564422,1107.564402,1661327425.851194,48308.667,5813,3,PR,1,100,127943
1107.604343,1107.604323,1661327425.891115,48347.333,5813,3,PR,1,100,127950
1107.644264,1107.644244,1661327425.931036,48386.000,5813,3,PR,1,100,127946
1107.684185,1107.684165,1661327425.970957,48424.667,5829,3,PR,1,100,127946
1107.724106,1107.724086,1661327426.010878,48463.333,5829,3,PR,1,100,127942
1107.764027,1107.764007,1661327426.050799,48502.000,5829,3,PR,1,100,127918
1107.803948,1107.803928,1661327426.090720,48540.667,5846,3,PR,1,100,127936
1107.843869,1107.843849,1661327426.130641,48579.333,5846,3,PR,1,100,127946
1107.883790,1107.883770,1661327426.170562,48618.000,5846,3,PR,1,100,127942
1107.923539,1107.923519,1661327426.210311,48656.500,5862,2,PR,1,100,127932
1107.963288,1107.963268,1661327426.250060,48695.000,5862,2,PR,1,100,127939
1108.002865,1108.002845,1661327426.289637,48733.333,5880,3,PR,1,100,127952
1108.042442,1108.042422,1661327426.329214,48771.667,5880,3,PR,1,100,127938
1108.082019,1108.081999,1661327426.368791,48810.000,5880,3,PR,1,100,127947
1108.121768,1108.121748,1661327426.408540,48848.500,5897,2,PR,1,100,127942
1108.161517,1108.161497,1661327426.448289,48887.000,5897,2,PR,1,100,127942
1108.201438,1108.201418,1661327426.488210,48925.667,5913,3,PR,1,100,127944
1108.241359,1108.241339,1661327426.528131,48964.333,5913,3,PR,1,100,127945
1108.281280,1108.281260,1661327426.568052,49003.000,5913,3,PR,1,100,127945
1108.320857,1108.320837,1661327426.607629,49041.333,5929,3,PR,1,100,127946
1108.360434,1108.360414,1661327426.647206,49079.667,5929,3,PR,1,100,127950
1108.400010,1108.399991,1661327426.686782,49118.000,5929,3,PR,1,100,127953
1108.440276,1108.440256,1661327426.727048,49157.000,5952,2,PR,1,100,127949
1108.480541,1108.480521,1661327426.767313,49196.000,5952,2,PR,1,100,127957
1108.519773,1108.519754,1661327426.806545,49234.000,5968,3,PR,1,100,127959
1108.559006,1108.558986,1661327426.845778,49272.000,5968,3,PR,1,100,127956
1108.598239,1108.598219,1661327426.885011,49310.000,5968,3,PR,1,100,127962
1108.637816,1108.637796,1661327426.924588,49348.333,5987,3,PR,1,100,127963
1108.677393,1108.677373,1661327426.964165,49386.667,5987,3,PR,1,100,127952
1108.716969,1108.716950,1661327427.003742,49425.000,5987,3,PR,1,100,127964
1108.756718,1108.756699,1661327427.043491,49463.500,6004,2,PR,1,100,127960
1108.796467,1108.796448,1661327427.083240,49502.000,6004,2,PR,1,100,127961
1108.844476,1108.844456,1661327427.131248,49548.500,6021,2,PR,1,100,127949
1108.892484,1108.892464,1661327427.179256,49595.000,6021,2,PR,1,100,127948
1108.933094,1108.933074,1661327427.219866,49634.333,6039,3,PR,1,100,127952
1108.973703,1108.973683,1661327427.260475,49673.667,6039,3,PR,1,100,127948
1109.014312,1109.014292,1661327427.301085,49713.000,6039,3,PR,1,100,127952
1109.054233,1109.054213,1661327427.341006,49751.667,6057,3,PR,1,100,127964
1109.094154,1109.094134,1661327427.380926,49790.333,6057,3,PR,1,100,127954
1109.134075,1109.134055,1661327427.420847,49829.000,6057,3,PR,1,100,127949
1109.173824,1109.173804,1661327427.460597,49867.500,6076,2,PR,1,100,127946
1109.213573,1109.213553,1661327427.500345,49906.000,6076,2,PR,1,100,127955
1109.253494,1109.253474,1661327427.540267,49944.667,6095,3,PR,1,100,127959
1109.293415,1109.293395,1661327427.580188,49983.333,6095,3,PR,1,100,127960
1109.333336,1109.333316,1661327427.620109,50022.000,6095,3,PR,1,100,127955
1109.372225,1109.372205,1661327427.658997,50059.667,6112,3,PR,1,100,127961
1109.411113,1109.411094,1661327427.697886,50097.333,6112,3,PR,1,100,127958
1109.450002,1109.449982,1661327427.736774,50135.000,6112,3,PR,1,100,127953
1109.490783,1109.490764,1661327427.777556,50174.500,6129,2,PR,1,100,127958
1109.531565,1109.531545,1661327427.818337,50214.000,6129,2,PR,1,100,127961
1109.572174,1109.572154,1661327427.858946,50253.333,6145,3,PR,1,100,127964
1109.612783,1109.612764,1661327427.899556,50292.667,6145,3,PR,1,100,127959
1109.653393,1109.653373,1661327427.940165,50332.000,6145,3,PR,1,100,127970
1109.693142,1109.693122,1661327427.979914,50370.500,6161,2,PR,1,100,127969
1109.732891,1109.732871,1661327428.019663,50409.000,6161,2,PR,1,100,127965
1109.772812,1109.772792,1661327428.059584,50447.667,6177,3,PR,1,100,127951
1109.812733,1109.812713,1661327428.099505,50486.333,6177,3,PR,1,100,127956
1109.852654,1109.852634,1661327428.139426,50525.000,6177,3,PR,1,100,127957
1109.892575,1109.892555,1661327428.179347,50563.667,6196,3,PR,1,100,127946
1109.932496,1109.932476,1661327428.219268,50602.333,6196,3,PR,1,100,127954
1109.972417,1109.972397,1661327428.259189,50641.000,6196,3,PR,1,100,127965
1110.012166,1110.012146,1661327428.298938,50679.500,6212,2,PR,1,100,127962
1110.051915,1110.051895,1661327428.338687,50718.000,6212,2,PR,1,100,127952
1110.092180,1110.092160,1661327428.378952,50757.000,6232,3,PR,1,100,127964
1110.132445,1110.132425,1661327428.419217,50796.000,6232,3,PR,1,100,127966
1110.172710,1110.172690,1661327428.459482,50835.000,6232,3,PR,1,100,127961
1110.212975,1110.212955,1661327428.499748,50874.000,6248,2,PR,1,100,127944
1110.253240,1110.253221,1661327428.540013,50913.000,6248,2,PR,1,100,127879
1110.293161,1110.293142,1661327428.579934,50951.667,6265,3,PR,1,100,127766
1110.333082,1110.333063,1661327428.619855,50990.333,6265,3,PR,1,100,127664
1110.373003,1110.372984,1661327428.659776,51029.000,6265,3,PR,1,100,127638
1110.413269,1110.413249,1661327428.700041,51068.000,6282,3,PR,1,100,127670
1110.453534,1110.453514,1661327428.740306,51107.000,6282,3,PR,1,100,127708
1110.493799,1110.493779,1661327428.780571,51146.000,6282,3,PR,1,100,127728
1110.533720,1110.533700,1661327428.820493,51184.667,6304,3,PR,1,100,127770
1110.573641,1110.573621,1661327428.860414,51223.333,6304,3,PR,1,100,127811
1110.613562,1110.613542,1661327428.900334,51262.000,6304,3,PR,1,100,127850
1110.652795,1110.652775,1661327428.939567,51300.000,6325,3,PR,1,100,127881
1110.692027,1110.692008,1661327428.978800,51338.000,6325,3,PR,1,100,127915
1110.731260,1110.731240,1661327429.018033,51376.000,6325,3,PR,1,100,127945
1110.772214,1110.772194,1661327429.058986,51415.667,6341,3,PR,1,100,127963
1110.813167,1110.813147,1661327429.099940,51455.333,6341,3,PR,1,100,127989
1110.854121,1110.854101,1661327429.140893,51495.000,6341,3,PR,1,100,128011
1110.893869,1110.893850,1661327429.180642,51533.500,6359,2,PR,1,100,128040
1110.933618,1110.933599,1661327429.220391,51572.000,6359,2,PR,1,100,128038
1110.973539,1110.973520,1661327429.260312,51610.667,6376,3,PR,1,100,128026
1111.013460,1111.013441,1661327429.300233,51649.333,6376,3,PR,1,100,128033
1111.053381,1111.053362,1661327429.340154,51688.000,6376,3,PR,1,100,128041
1111.093647,1111.093627,1661327429.380419,51727.000,6395,2,PR,1,100,128043
1111.133912,1111.133892,1661327429.420684,51766.000,6395,2,PR,1,100,128030
1111.173833,1111.173813,1661327429.460605,51804.667,6412,3,PR,1,100,128013
1111.213754,1111.213734,1661327429.500526,51843.333,6412,3,PR,1,100,127987
1111.253675,1111.253655,1661327429.540447,51882.000,6412,3,PR,1,100,127984
1111.293252,1111.293232,1661327429.580024,51920.333,6426,3,PR,1,100,127986
1111.332829,1111.332809,1661327429.619601,51958.667,6426,3,PR,1,100,127994
1111.372405,1111.372386,1661327429.659178,51997.000,6426,3,PR,1,100,128012
1111.412154,1111.412135,1661327429.698927,52035.500,6444,2,PR,1,100,128019
1111.451903,1111.451884,1661327429.738676,52074.000,6444,2,PR,1,100,128008
1111.491824,1111.491805,1661327429.778597,52112.667,6462,3,PR,1,100,127999
1111.531745,1111.531726,1661327429.818518,52151.333,6462,3,PR,1,100,128007
1111.571666,1111.571647,1661327429.858439,52190.000,6462,3,PR,1,100,128018
1111.611932,1111.611912,1661327429.898704,52229.000,6479,2,PR,1,100,128006
1111.652197,1111.652177,1661327429.938969,52268.000,6479,2,PR,1,100,128020
1111.691774,1111.691754,1661327429.978546,52306.333,6495,3,PR,1,100,128018
1111.731350,1111.731331,1661327430.018123,52344.667,6495,3,PR,1,100,128014
1111.770927,1111.770908,1661327430.057700,52383.000,6495,3,PR,1,100,128018
1111.810504,1111.810484,1661327430.097277,52421.333,6513,3,PR,1,100,128031
1111.850081,1111.850061,1661327430.136854,52459.667,6513,3,PR,1,100,128028
1111.889658,1111.889638,1661327430.176431,52498.000,6513,3,PR,1,100,128013
1111.928891,1111.928871,1661327430.215663,52536.000,6529,2,PR,1,100,128016
1111.968123,1111.968104,1661327430.254896,52574.000,6529,2,PR,1,100,128027
1112.008389,1112.008369,1661327430.295161,52613.000,6547,3,PR,1,100,128024
1112.048654,1112.048634,1661327430.335427,52652.000,6547,3,PR,1,100,128021
1112.088919,1112.088899,1661327430.375692,52691.000,6547,3,PR,1,100,128036
1112.128840,1112.128820,1661327430.415613,52729.667,6565,3,PR,1,100,128060
1112.168761,1112.168741,1661327430.455534,52768.333,6565,3,PR,1,100,128049
1112.208682,1112.208662,1661327430.495455,52807.000,6565,3,PR,1,100,128040
1112.248431,1112.248411,1661327430.535204,52845.500,6583,2,PR,1,100,128045
1112.288180,1112.288160,1661327430.574953,52884.000,6583,2,PR,1,100,128054
1112.328101,1112.328081,1661327430.614874,52922.667,6599,3,PR,1,100,128048
1112.368022,1112.368002,1661327430.654795,52961.333,6599,3,PR,1,100,128046
1112.407943,1112.407923,1661327430.694716,53000.000,6599,3,PR,1,100,128031
1112.448208,1112.448188,1661327430.734981,53039.000,6617,2,PR,1,100,128027
1112.488473,1112.488453,1661327430.775246,53078.000,6617,2,PR,1,100,128022
1112.527706,1112.527686,1661327430.814479,53116.000,6633,3,PR,1,100,128014
1112.566939,1112.566919,1661327430.853712,53154.000,6633,3,PR,1,100,128028
1112.606171,1112.606152,1661327430.892944,53192.000,6633,3,PR,1,100,128034
1112.646092,1112.646073,1661327430.932865,53230.667,6650,3,PR,1,100,128038
1112.686013,1112.685994,1661327430.972786,53269.333,6650,3,PR,1,100,128030
1112.725934,1112.725915,1661327431.012707,53308.000,6650,3,PR,1,100,128045
1112.765167,1112.765147,1661327431.051940,53346.000,6667,2,PR,1,100,128031
1112.804400,1112.804380,1661327431.091173,53384.000,6667,2,PR,1,100,128014
1112.844321,1112.844301,1661327431.131094,53422.667,6684,3,PR,1,100,128010
1112.884242,1112.884222,1661327431.171015,53461.333,6684,3,PR,1,100,128012
1112.924163,1112.924143,1661327431.210936,53500.000,6684,3,PR,1,100,128011
1112.964084,1112.964064,1661327431.250857,53538.667,6700,3,PR,1,100,128007
1113.004005,1113.003985,1661327431.290778,53577.333,6700,3,PR,1,100,128009
1113.043926,1113.043906,1661327431.330699,53616.000,6700,3,PR,1,100,128005
1113.084191,1113.084171,1661327431.370964,53655.000,6720,2,PR,1,100,127997
1113.124456,1113.124437,1661327431.411229,53694.000,6720,2,PR,1,100,128000
1113.163689,1113.163669,1661327431.450462,53732.000,6737,3,PR,1,100,128007
1113.202922,1113.202902,1661327431.489695,53770.000,6737,3,PR,1,100,128014
1113.242154,1113.242135,1661327431.528928,53808.000,6737,3,PR,1,100,128012
1113.281903,1113.281884,1661327431.568676,53846.500,6753,2,PR,1,100,128009
1113.321652,1113.321633,1661327431.608425,53885.000,6753,2,PR,1,100,128006
1113.361573,1113.361554,1661327431.648346,53923.667,6770,3,PR,1,100,128009
1113.401494,1113.401475,1661327431.688267,53962.333,6770,3,PR,1,100,128003
1113.441415,1113.441396,1661327431.728189,54001.000,6770,3,PR,1,100,128012
1113.481336,1113.481317,1661327431.768110,54039.667,6787,3,PR,1,100,128020
1113.521257,1113.521238,1661327431.808031,54078.333,6787,3,PR,1,100,128022
1113.561178,1113.561159,1661327431.847951,54117.000,6787,3,PR,1,100,128027
1113.601444,1113.601424,1661327431.888217,54156.000,6805,2,PR,1,100,128046
1113.641709,1113.641689,1661327431.928482,54195.000,6805,2,PR,1,100,128041
1113.686104,1113.686084,1661327431.972877,54238.000,6824,3,PR,1,100,128029
1113.730499,1113.730479,1661327432.017272,54281.000,6824,3,PR,1,100,128019
1113.774894,1113.774874,1661327432.061667,54324.000,6824,3,PR,1,100,128023
1113.814642,1113.814623,1661327432.101416,54362.500,6842,2,PR,1,100,128013
1113.854391,1113.854372,1661327432.141165,54401.000,6842,2,PR,1,100,128015
1113.893968,1113.893949,1661327432.180742,54439.333,6859,3,PR,1,100,128013
