LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1102.485677,1102.485657,1661327420.772448,43389.500,4978,2,GX,1,100,-3.082
1102.525426,1102.525406,1661327420.812197,43428.000,4978,2,GX,1,100,-2.655
1102.565691,1102.565671,1661327420.852462,43467.000,4995,3,GX,1,100,-3.052
1102.605957,1102.605937,1661327420.892727,43506.000,4995,3,GX,1,100,-2.075
1102.646222,1102.646202,1661327420.932993,43545.000,4995,3,GX,1,100,-1.740
1102.685971,1102.685951,1661327420.972742,43583.500,5009,2,GX,1,100,-2.777
1102.725720,1102.725700,1661327421.012491,43622.000,5009,2,GX,1,100,-3.571
1102.764608,1102.764588,1661327421.051379,43659.667,5027,3,GX,1,100,-3.021
1102.803497,1102.803477,1661327421.090268,43697.333,5027,3,GX,1,100,-1.923
1102.842385,1102.842365,1661327421.129156,43735.000,5027,3,GX,1,100,-1.038
1102.882306,1102.882286,1661327421.169077,43773.667,5043,3,GX,1,100,-0.641
1102.922227,1102.922207,1661327421.208998,43812.333,5043,3,GX,1,100,-0.763
1102.962148,1102.962128,1661327421.248919,43851.000,5043,3,GX,1,100,-0.488
1103.002414,1103.002394,1661327421.289185,43890.000,5065,2,GX,1,100,0.000
1103.042679,1103.042659,1661327421.329450,43929.000,5065,2,GX,1,100,0.336
1103.078814,1103.078794,1661327421.365585,43964.000,5084,4,GX,1,100,0.610
1103.114949,1103.114929,1661327421.401721,43999.000,5084,4,GX,1,100,0.824
1103.151085,1103.151065,1661327421.437856,44034.000,5084,4,GX,1,100,0.916
1103.187220,1103.187200,1661327421.473991,44069.000,5084,4,GX,1,100,0.702
1103.227485,1103.227465,1661327421.514256,44108.000,5099,2,GX,1,100,1.038
1103.267751,1103.267731,1661327421.554522,44147.000,5099,2,GX,1,100,0.824
1103.307672,1103.307652,1661327421.594443,44185.667,5115,3,GX,1,100,0.732
1103.347593,1103.347573,1661327421.634364,44224.333,5115,3,GX,1,100,0.824
1103.387514,1103.387494,1661327421.674285,44263.000,5115,3,GX,1,100,1.160
1103.426230,1103.426210,1661327421.713001,44300.500,5135,2,GX,1,100,1.312
1103.464947,1103.464927,1661327421.751718,44338.000,5135,2,GX,1,100,0.336
1103.504868,1103.504848,1661327421.791639,44376.667,5151,3,GX,1,100,-2.960
1103.544789,1103.544769,1661327421.831560,44415.333,5151,3,GX,1,100,-3.540
1103.584710,1103.584690,1661327421.871481,44454.000,5151,3,GX,1,100,-1.709
1103.625491,1103.625471,1661327421.912262,44493.500,5167,2,GX,1,100,0.336
1103.666273,1103.666253,1661327421.953044,44533.000,5167,2,GX,1,100,-0.214
1103.706882,1103.706862,1661327421.993653,44572.333,5184,3,GX,1,100,-0.671
1103.747491,1103.747471,1661327422.034262,44611.667,5184,3,GX,1,100,0.183
1103.788100,1103.788080,1661327422.074872,44651.000,5184,3,GX,1,100,0.427
1103.828021,1103.828001,1661327422.114793,44689.667,5201,3,GX,1,100,0.702
1103.867942,1103.867922,1661327422.154714,44728.333,5201,3,GX,1,100,0.488
1103.907863,1103.907844,1661327422.194635,44767.000,5201,3,GX,1,100,0.671
